"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1950",,,"3899",,"3899","0","53","0","26","0","0",,"0","0","0","0","3","0","0","0","326","0","121","0","24","0,1207,","0",",0,1231,+","0.0","T,0,0423,","2.41",",0,0917,","102","0,0818,","26","0,1206","26","0,1206","24","0,1207",,,,,"32","0,0105",,,,,,,,,"513",,"513","0","15.50",",0",,,"0.0","T,0","73.9","0","83.3","0","64.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1951",,,"3763",,"3763","0","74","0","30","0","0",,"0","0","0","0","10","0","3","0","318","0","110","0","18","0,0201,","0","T,0,0201,+","0.0","T,0,0312,+","4.16",",0,0913,","99","0,0817,+","31","0,1103",,,,,,,,,"28","0,0313","28","0,0313","19","0,0203","19","0,0203",,,"929",,"929","0","26.93",",0",,,"0.0","T,0","72.6","0","81.7","0","63.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1952",,,"3203",,"3203","0","69","0","34","0","0",,"0","0","0","0","0","0","0","0","319","0","89","0","34","0,0227,+","0",",0,1231,+","0.0",",0,1231,+","2.69",",0,0718,","98","0,0818,",,,,,,,,,,,,,,,,,,,,,"658",,"658","0","21.31",",0",,,"0.0",",0","71.7","0","81.2","0","62.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1953",,,"3795",,"3795","0","71","0","35","0","0",,"0","0","0","0","4","0","0","0","314","0","131","0","28","0,1224,","0",",0,1231,+","0.0","T,0,0222,","5.05",",0,0828,","101","0,0809,","31","0,1223","28","0,1224",,,,,,,"32","0,0118",,,,,,,,,"801",,"801","0","24.16",",0",,,"0.0","T,0","73.2","0","82.8","0","63.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1954",,,"3723",,"3723","0","54","0","29","0","0",,"0","0","0","0","3","0","0","0","325","0","122","0","29","0,0122,+","0",",0,1231,+","0.0","T,0,0121,","2.52",",0,0930,","102","0,0911,+",,,,,,,,,,,"32","0,0208",,,,,,,,,"791",,"791","0","16.05",",0",,,"0.0","T,0","73.5","0","83.1","0","63.8","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1955",,,"3672",,"3672","0","57","0","26","0","0",,"0","0","0","0","3","0","0","0","306","0","116","0","31","0,0124,","0",",0,1231,+","0.0",",0,1231,+","7.64",",0,0906,","102","0,0423,",,,,,,,,,,,"32","0,0212",,,,,,,,,"743",,"743","0","21.90",",0",,,"0.0",",0","72.6","0","81.7","0","63.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1956",,,"3463",,"3463","0","52","0","25","0","0",,"0","0","0","0","5","0","0","0","314","0","113","0","31","0,0308,+","0",",0,1231,+","0.0",",0,1231,+","7.19",",0,0423,","97","0,0819,+","32","0,1130",,,,,,,,,"31","0,0308",,,,,,,,,"837",,"837","0","21.74",",0",,,"0.0",",0","72.1","0","81.8","0","62.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1957",,,"3485",,"3485","0","70","0","39","0","0",,"0","0","0","0","5","0","0","0","313","0","100","0","28","0,0118,","0",",0,1231,+","0.0","T,0,1123,","2.79",",0,1111,","100","0,0810,","31","0,1201",,,,,,,,,"28","0,0118","28","0,0118",,,,,,,"717",,"717","0","28.03",",0",,,"0.0","T,0","72.5","0","81.3","0","63.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1958",,,"3338",,"3338","0","91","0","56","0","0",,"0","0","0","0","5","0","0","0","271","0","104","0","25","0,1216,","0","T,0,0212,","0.5",",0,0212,","4.47",",0,0105,","99","0,0822,+","31","0,1214","25","0,1216",,,,,,,"29","0,0213",,,,,,,,,"1100",,"1100","0","42.65",",0",,,"0.5",",0","70.9","0","79.2","0","62.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","27.7742","-97.5122","13.4","1959",,,"3164",,"3164","0","87","0","47","0","0",,"0","0","0","0","8","0","0","0","274","0","89","0","25","0,0104,","0",",0,1231,+","0.0","T,0,1117,+","4.26",",0,1004,","97","0,0723,","30","0,1118",,,,,,,,,"31","0,0122","25","0,0104",,,,,,,"1211",,"1211","0","38.47",",0",,,"0.0","T,0","70.2","0","78.7","0","61.7","0",,,,,,,,,,,,,,,,,,,,,,
